timestamp=5242319979175, VA=0000800100016000-00008001000162c0, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x7f03880e4e50
timestamp=5242320321255, VA=0000800100200000-0000800100a00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x7f03880a7020
timestamp=5242320347635, VA=0000800100200000-0000800100280000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x7f038807ef80
timestamp=5242320354187, VA=0000800100280000-00008001002800d0, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x7f03880099c0
timestamp=5242323877249, VA=0000800000000000-0000800000040000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x7f03880e4e50
timestamp=5242323917174, VA=00008001002800d0-00008001002800f0, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x7f0388104e50
timestamp=5242323973850, VA=0000800000040000-0000800000040800, binding_type=bind, object_type=VK_OBJECT_TYPE_DESCRIPTOR_POOL, object_handle=0x7f03881278f0
timestamp=5242328159622, VA=0000800000041000-0000800000045000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x7f038815af80
timestamp=5242328569990, VA=0000800100a00000-0000800100e00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x7f038811e300
timestamp=5242328592181, VA=0000800100a00000-0000800100a000d0, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x7f038807dee0
timestamp=5242328695675, VA=0000800100290000-0000800100594000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x7f038811fe40
timestamp=5242328790733, VA=0000800100e00000-0000800101200000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x7f03880fd1f0
timestamp=5242328799940, VA=0000800100e00000-0000800101100000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x7f03880cb310
timestamp=5242339139527, VA=0000800000045000-0000800000049000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x7f03881b64e0
timestamp=5242339677944, VA=0000800000049000-000080000004d000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x7f03881b0b60
timestamp=5242339778272, VA=000080000004d000-0000800000051000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x7f03881ab1e0
timestamp=5242339872699, VA=0000800101400000-0000800102444100, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x7f03880e4e50
timestamp=5242339898527, VA=00008001001f7000-00008001001f7130, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x7f03880e4e50
timestamp=5242339942098, VA=00008001001f8000-00008001001f8130, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x7f03880e4e50
timestamp=5242339982093, VA=00008001001f9000-00008001001f9008, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x7f03880e4e50
