timestamp=5242319940663, VA=0000800100000000-0000800100001000, destroyed=0, is_virtual=0
timestamp=5242319948197, VA=0000800100001000-0000800100001138, destroyed=0, is_virtual=0
timestamp=5242319966011, VA=0000800100002000-0000800100016000, destroyed=0, is_virtual=0
timestamp=5242319979035, VA=0000800100016000-00008001000162c0, destroyed=0, is_virtual=0
timestamp=5242319985938, VA=0000800100002000-0000800100016000, destroyed=1, is_virtual=0
timestamp=5242320321025, VA=0000800100200000-0000800100a00000, destroyed=0, is_virtual=0
timestamp=5242323876708, VA=0000800000000000-0000800000040000, destroyed=0, is_virtual=0
timestamp=5242323973709, VA=0000800000040000-0000800000040800, destroyed=0, is_virtual=0
timestamp=5242328050608, VA=0000800100002000-0000800100016000, destroyed=0, is_virtual=0
timestamp=5242328061619, VA=0000800100017000-000080010002b000, destroyed=0, is_virtual=0
timestamp=5242328071627, VA=000080010002b000-000080010003f000, destroyed=0, is_virtual=0
timestamp=5242328077508, VA=000080010003f000-0000800100053000, destroyed=0, is_virtual=0
timestamp=5242328084171, VA=0000800100053000-0000800100067000, destroyed=0, is_virtual=0
timestamp=5242328089841, VA=0000800100067000-000080010007b000, destroyed=0, is_virtual=0
timestamp=5242328096273, VA=000080010007b000-000080010008f000, destroyed=0, is_virtual=0
timestamp=5242328102295, VA=000080010008f000-00008001000a3000, destroyed=0, is_virtual=0
timestamp=5242328107685, VA=00008001000a3000-00008001000b7000, destroyed=0, is_virtual=0
timestamp=5242328112784, VA=00008001000b7000-00008001000cb000, destroyed=0, is_virtual=0
timestamp=5242328118094, VA=00008001000cb000-00008001000df000, destroyed=0, is_virtual=0
timestamp=5242328123574, VA=00008001000df000-00008001000f3000, destroyed=0, is_virtual=0
timestamp=5242328129736, VA=00008001000f3000-0000800100107000, destroyed=0, is_virtual=0
timestamp=5242328136669, VA=0000800100107000-000080010011b000, destroyed=0, is_virtual=0
timestamp=5242328141859, VA=000080010011b000-000080010012f000, destroyed=0, is_virtual=0
timestamp=5242328146928, VA=000080010012f000-0000800100143000, destroyed=0, is_virtual=0
timestamp=5242328159291, VA=0000800000041000-0000800000045000, destroyed=0, is_virtual=0
timestamp=5242328569549, VA=0000800100a00000-0000800100e00000, destroyed=0, is_virtual=0
timestamp=5242328790562, VA=0000800100e00000-0000800101200000, destroyed=0, is_virtual=0
timestamp=5242339020113, VA=0000800100143000-0000800100157000, destroyed=0, is_virtual=0
timestamp=5242339030853, VA=0000800100157000-000080010016b000, destroyed=0, is_virtual=0
timestamp=5242339039229, VA=000080010016b000-000080010017f000, destroyed=0, is_virtual=0
timestamp=5242339045711, VA=000080010017f000-0000800100193000, destroyed=0, is_virtual=0
timestamp=5242339050951, VA=0000800100193000-00008001001a7000, destroyed=0, is_virtual=0
timestamp=5242339056221, VA=00008001001a7000-00008001001bb000, destroyed=0, is_virtual=0
timestamp=5242339062302, VA=00008001001bb000-00008001001cf000, destroyed=0, is_virtual=0
timestamp=5242339067652, VA=00008001001cf000-00008001001e3000, destroyed=0, is_virtual=0
timestamp=5242339073022, VA=00008001001e3000-00008001001f7000, destroyed=0, is_virtual=0
timestamp=5242339082220, VA=0000800101200000-0000800101214000, destroyed=0, is_virtual=0
timestamp=5242339089132, VA=0000800101214000-0000800101228000, destroyed=0, is_virtual=0
timestamp=5242339100945, VA=0000800101228000-000080010123c000, destroyed=0, is_virtual=0
timestamp=5242339108689, VA=000080010123c000-0000800101250000, destroyed=0, is_virtual=0
timestamp=5242339117626, VA=0000800101250000-0000800101264000, destroyed=0, is_virtual=0
timestamp=5242339124258, VA=0000800101264000-0000800101278000, destroyed=0, is_virtual=0
timestamp=5242339131412, VA=0000800101278000-000080010128c000, destroyed=0, is_virtual=0
timestamp=5242339139266, VA=0000800000045000-0000800000049000, destroyed=0, is_virtual=0
timestamp=5242339616399, VA=000080010128c000-00008001012a0000, destroyed=0, is_virtual=0
timestamp=5242339677644, VA=0000800000049000-000080000004d000, destroyed=0, is_virtual=0
timestamp=5242339778152, VA=000080000004d000-0000800000051000, destroyed=0, is_virtual=0
timestamp=5242339872548, VA=0000800101400000-0000800102444100, destroyed=0, is_virtual=0
timestamp=5242339898447, VA=00008001001f7000-00008001001f7130, destroyed=0, is_virtual=0
timestamp=5242339908055, VA=00008001012a0000-00008001012b4000, destroyed=0, is_virtual=0
timestamp=5242339920117, VA=00008001012b4000-00008001012c8000, destroyed=0, is_virtual=0
timestamp=5242339930597, VA=00008001012c8000-00008001012dc000, destroyed=0, is_virtual=0
timestamp=5242339941958, VA=00008001001f8000-00008001001f8130, destroyed=0, is_virtual=0
timestamp=5242339950023, VA=00008001012dc000-00008001012f0000, destroyed=0, is_virtual=0
timestamp=5242339961164, VA=00008001012f0000-0000800101304000, destroyed=0, is_virtual=0
timestamp=5242339971343, VA=0000800101304000-0000800101318000, destroyed=0, is_virtual=0
timestamp=5242339981973, VA=00008001001f9000-00008001001f9008, destroyed=0, is_virtual=0
timestamp=5242339986051, VA=0000800101318000-000080010132c000, destroyed=0, is_virtual=0
timestamp=5242339990589, VA=000080010132c000-0000800101340000, destroyed=0, is_virtual=0
timestamp=5242339996981, VA=0000800101340000-0000800101354000, destroyed=0, is_virtual=0
timestamp=5242340006399, VA=0000800101354000-0000800101368000, destroyed=0, is_virtual=0
